"","Count","LBA","LF","DIST_YEAR","DIST_TYPE","TYPE_CONFIDENCE","SEVERITY","SOURCE1","SOURCE2","SOURCE3","SOURCE4","DESCRIPTION","DIST_GROUP","DIST_FIRE","hectares"
"49",81862,1,1133,2011,"Unknown","N/A","High","MIICA","PAD","dNBR","SMARTFire","Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",7367.58
"50",406733,1,1131,2011,"Unknown","N/A","Low","MIICA","PAD","dNBR","SMARTFire","Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",36605.97
"51",101482,1,1132,2011,"Unknown","N/A","Medium","MIICA","PAD","dNBR","SMARTFire","Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",9133.38
"52",1066741,9999,961,2011,"Other Mechanical","High","Low","Refresh Events",NA,NA,NA,"Within Other Mechanical Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Mechanical","Disturbance-Not Fire",96006.69
"53",627531,9999,461,2011,"Other Mechanical","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Other Mechanical Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",56477.79
"54",28666,9999,761,2011,"Other Mechanical","Medium","Low","Refresh Events","dNBR",NA,NA,"Other Mechanical causality likely, but could be other causality type than assigned (MIICA pixels within Development Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",2579.94
"55",49380,9999,442,2011,"Thinning","High","Medium","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Thinning Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Thinning","Disturbance-Not Fire",4444.2
"56",74492,9999,771,2011,"Wildfire","Medium","Low","Refresh Events","dNBR",NA,NA,"Wildfire causality likely, but could be other causality type than assigned (MIICA pixels within Wildfire Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",6704.28
"57",5070255,9999,11,2011,"Wildfire","High","Unburned/Low","MTBS",NA,NA,NA,"MTBS mapped wildfire.","Wildfire","Disturbance-Fire",456322.95
"58",7667401,9999,12,2011,"Wildfire","High","Low","MTBS",NA,NA,NA,"MTBS mapped wildfire.","Wildfire","Disturbance-Fire",690066.09
"59",535745,9999,31,2011,"Wildfire","High","Unburned/Low","RAVG",NA,NA,NA,"RAVG mapped wildfire.","Wildfire","Disturbance-Fire",48217.05
"60",8566,9999,32,2011,"Wildfire","High","Low","RAVG",NA,NA,NA,"RAVG mapped wildfire.","Wildfire","Disturbance-Fire",770.94
"61",385395,9999,13,2011,"Wildfire","High","Medium","MTBS",NA,NA,NA,"MTBS mapped wildfire.","Wildfire","Disturbance-Fire",34685.55
"62",6231781,1,13,2011,"Wildfire","High","Medium","MTBS",NA,NA,NA,"MTBS mapped wildfire.","Wildfire","Disturbance-Fire",560860.29
"63",21474452,1,12,2011,"Wildfire","High","Low","MTBS",NA,NA,NA,"MTBS mapped wildfire.","Wildfire","Disturbance-Fire",1932700.68
"64",6690,1,31,2011,"Wildfire","High","Unburned/Low","RAVG",NA,NA,NA,"RAVG mapped wildfire.","Wildfire","Disturbance-Fire",602.1
"65",62858,9999,14,2011,"Wildfire","High","High","MTBS",NA,NA,NA,"MTBS mapped wildfire.","Wildfire","Disturbance-Fire",5657.22
"66",1534097,1,14,2011,"Wildfire","High","High","MTBS",NA,NA,NA,"MTBS mapped wildfire.","Wildfire","Disturbance-Fire",138068.73
"67",12326,9999,772,2011,"Wildfire","Medium","Medium","Refresh Events","dNBR",NA,NA,"Wildfire causality likely, but could be other causality type than assigned (MIICA pixels within Wildfire Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",1109.34
"68",1291070,9999,471,2011,"Wildfire","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Wildfire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",116196.3
"69",1210194,9999,971,2011,"Wildfire","High","Low","Refresh Events",NA,NA,NA,"Within Wildfire Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Wildfire","Disturbance-Fire",108917.46
"70",1663104,1,11,2011,"Wildfire","High","Unburned/Low","MTBS",NA,NA,NA,"MTBS mapped wildfire.","Wildfire","Disturbance-Fire",149679.36
"71",330217,1,113,2011,"Wildfire","High","Medium","Decision Tree Modeled","MTBS",NA,NA,"MTBS gap (value = 6) filled with See5 output.","Wildfire","Disturbance-Fire",29719.53
"72",417393,1,112,2011,"Wildfire","High","Low","Decision Tree Modeled","MTBS",NA,NA,"MTBS gap (value = 6) filled with See5 output.","Wildfire","Disturbance-Fire",37565.37
"73",351501,9999,112,2011,"Wildfire","High","Low","Decision Tree Modeled","MTBS",NA,NA,"MTBS gap (value = 6) filled with See5 output.","Wildfire","Disturbance-Fire",31635.09
"74",40038,9999,113,2011,"Wildfire","High","Medium","Decision Tree Modeled","MTBS",NA,NA,"MTBS gap (value = 6) filled with See5 output.","Wildfire","Disturbance-Fire",3603.42
"75",184782,9999,111,2011,"Wildfire","High","Unburned/Low","Decision Tree Modeled","MTBS",NA,NA,"MTBS gap (value = 6) filled with See5 output.","Wildfire","Disturbance-Fire",16630.38
"76",245718,1,114,2011,"Wildfire","High","High","Decision Tree Modeled","MTBS",NA,NA,"MTBS gap (value = 6) filled with See5 output.","Wildfire","Disturbance-Fire",22114.62
